month_order,marketing_channel,Customers,CohortCustomers,CohortCustomersPerc
0,Affiliate,557,557,1.0
-11,Direct/SEO,7,7,1.0
-10,Direct/SEO,16,7,2.2857142857142856
-9,Direct/SEO,13,7,1.8571428571428572
-8,Direct/SEO,20,7,2.857142857142857
-7,Direct/SEO,59,7,8.428571428571429
-6,Direct/SEO,43,7,6.142857142857143
-5,Direct/SEO,62,7,8.857142857142858
-4,Direct/SEO,101,7,14.428571428571429
-3,Direct/SEO,134,7,19.142857142857142
-2,Direct/SEO,146,7,20.857142857142858
-1,Direct/SEO,235,7,33.57142857142857
0,Direct/SEO,37961,7,5423.0
-11,Facebook,1,1,1.0
-10,Facebook,2,1,2.0
-9,Facebook,3,1,3.0
-8,Facebook,8,1,8.0
-7,Facebook,7,1,7.0
-6,Facebook,17,1,17.0
-5,Facebook,13,1,13.0
-4,Facebook,36,1,36.0
-3,Facebook,33,1,33.0
-2,Facebook,32,1,32.0
-1,Facebook,53,1,53.0
0,Facebook,24074,1,24074.0
-7,Google,2,2,1.0
-6,Google,1,2,0.5
-5,Google,1,2,0.5
-4,Google,1,2,0.5
-3,Google,3,2,1.5
-2,Google,5,2,2.5
-1,Google,4,2,2.0
0,Google,4751,2,2375.5
0,Instagram,273,273,1.0
0,MyRewards,1110,1110,1.0
-7,Others,2,2,1.0
-5,Others,1,2,0.5
-4,Others,4,2,2.0
-3,Others,2,2,1.0
-2,Others,7,2,3.5
-1,Others,11,2,5.5
0,Others,28146,2,14073.0
